259.0348,'A',pressed,OTHPYR
259.2067,'A',released,OTHPYR
259.2140,Mouse.left,pressed
259.8230,'W',released,OTHPYR
260.0380,Mouse.left,released
260.1218,Key.shift,released,OTHPYR
260.2260,Mouse.right,released
271.9730,'w',released,OTHPYR
272.2238,'w',pressed,OTHPYR
272.3948,'a',pressed,OTHPYR
272.6288,'w',released,OTHPYR
273.1138,'s',pressed,OTHPYR
273.3009,'s',released,OTHPYR
273.4819,'w',pressed,OTHPYR
273.5108,Key.shift,pressed,OTHPYR
273.6845,'A',released,OTHPYR
274.7978,'A',pressed,OTHPYR
275.1878,'A',released,OTHPYR
275.3971,Mouse.right,pressed
275.7113,Mouse.left,pressed
275.7277,Key.shift,released,OTHPYR
275.7741,'w',released,OTHPYR
277.3549,'s',pressed,OTHPYR
277.7568,'s',released,OTHPYR
278.5580,Mouse.left,released
278.5978,'s',pressed,OTHPYR
278.7451,Mouse.right,released
279.0358,Mouse.right,pressed
279.2409,'s',released,OTHPYR
279.2741,Mouse.left,pressed
279.8240,Mouse.left,released
279.8558,'s',pressed,OTHPYR
280.6611,Mouse.left,pressed
280.7553,'s',released,OTHPYR
281.0260,'s',pressed,OTHPYR
283.0350,Mouse.left,released
283.0919,'s',released,OTHPYR
283.6291,'w',pressed,OTHPYR
284.0527,'w',released,OTHPYR
284.6048,'s',pressed,OTHPYR
285.7549,Mouse.right,released
286.2558,'s',released,OTHPYR
286.3178,'d',pressed,OTHPYR
286.4148,'w',pressed,OTHPYR
286.6468,'d',released,OTHPYR
286.6568,'a',released,OTHPYR
286.6848,Key.shift,pressed,OTHPYR
287.1099,'A',pressed,OTHPYR
287.2221,Mouse.right,pressed
287.4408,'W',released,OTHPYR
287.5392,'W',pressed,OTHPYR
287.8842,Mouse.left,pressed
287.9640,Mouse.left,released
288.1796,'W',released,OTHPYR
289.0142,'W',pressed,OTHPYR
289.2609,'A',released,OTHPYR
289.7520,Mouse.right,released
290.8530,'A',pressed,OTHPYR
290.9992,'A',released,OTHPYR
291.2733,'D',pressed,OTHPYR
291.4559,'D',released,OTHPYR
291.5359,'A',pressed,OTHPYR
291.6011,Mouse.right,pressed
291.7243,'W',released,OTHPYR
291.8631,Mouse.left,pressed
292.4280,'A',released,OTHPYR
292.6511,Mouse.left,released
292.7287,'D',pressed,OTHPYR
293.5190,'D',released,OTHPYR
293.5561,'A',pressed,OTHPYR
293.7282,'A',released,OTHPYR
293.7503,Mouse.left,pressed
294.1330,'A',pressed,OTHPYR
294.1891,Mouse.left,released
294.6969,'A',released,OTHPYR
295.1158,'D',pressed,OTHPYR
295.4978,'A',pressed,OTHPYR
295.5158,'D',released,OTHPYR
296.4430,Mouse.right,released
296.8409,'W',pressed,OTHPYR
297.5461,'W',released,OTHPYR
297.7911,'D',pressed,OTHPYR
297.8560,'A',released,OTHPYR
297.9203,'W',pressed,OTHPYR
298.9532,'W',released,OTHPYR
299.5662,'W',pressed,OTHPYR
299.9670,Mouse.right,pressed
300.2329,'D',released,OTHPYR
300.4389,'A',pressed,OTHPYR
300.5830,'W',released,OTHPYR
300.7958,'W',pressed,OTHPYR
300.9769,Mouse.right,released
301.1234,'A',released,OTHPYR
301.2851,Mouse.right,pressed
301.4769,Mouse.left,pressed
301.5970,'W',released,OTHPYR
301.8128,Key.shift,released,OTHPYR
302.0341,'s',pressed,OTHPYR
303.1348,'s',released,OTHPYR
303.1990,Mouse.left,released
303.3788,'d',pressed,OTHPYR
303.7828,'w',released,OTHPYR
304.0381,Mouse.left,pressed
304.1467,'d',released,OTHPYR
304.1658,'a',pressed,OTHPYR
304.4058,'a',released,OTHPYR
304.7147,'s',pressed,OTHPYR
304.9757,'d',pressed,OTHPYR
305.1278,'d',released,OTHPYR
305.5537,'d',pressed,OTHPYR
305.8339,Mouse.left,released
305.9158,'s',released,OTHPYR
305.9210,Mouse.right,released
305.9388,'d',released,OTHPYR
311.8859,Key.comma,pressed,OTHPYR
312.0139,Key.comma,released,OTHPYR
316.2441,Mouse.left,pressed
316.3251,Mouse.left,released
323.9557,'w',pressed,OTHPYR
324.1008,Key.shift,pressed,OTHPYR
324.4668,'D',pressed,OTHPYR
324.8034,'D',released,OTHPYR
324.9967,Key.shift,released,OTHPYR
325.1040,'a',pressed,OTHPYR
325.1278,'w',released,OTHPYR
325.3789,'s',pressed,OTHPYR
325.5389,'a',released,OTHPYR
325.7079,'s',released,OTHPYR
326.2048,'q',pressed,OTHPYR
326.3308,'q',released,OTHPYR
326.9587,'q',pressed,OTHPYR
327.0769,'q',released,OTHPYR
327.3977,'w',pressed,OTHPYR
327.6797,'a',pressed,OTHPYR
327.7789,'a',released,OTHPYR
327.8798,'a',pressed,OTHPYR
327.9548,Key.shift,pressed,OTHPYR
328.1111,'A',released,OTHPYR
328.3016,'A',pressed,OTHPYR
328.4848,'A',released,OTHPYR
329.2621,'D',pressed,OTHPYR
329.5057,'D',released,OTHPYR
329.7053,'A',pressed,OTHPYR
330.4648,'A',released,OTHPYR
330.6111,Key.shift,released,OTHPYR
330.7029,'d',pressed,OTHPYR
330.9298,Key.shift,pressed,OTHPYR
330.9988,'D',released,OTHPYR
331.6838,'A',pressed,OTHPYR
331.9799,'W',released,OTHPYR
332.1789,'W',pressed,OTHPYR
332.4981,'A',released,OTHPYR
333.1540,'D',pressed,OTHPYR
333.3137,'D',released,OTHPYR
333.8051,'D',pressed,OTHPYR
334.0018,'W',released,OTHPYR
334.3460,'W',pressed,OTHPYR
334.4340,'A',pressed,OTHPYR
334.4370,'D',released,OTHPYR
334.5497,'W',released,OTHPYR
334.9262,'D',pressed,OTHPYR
334.9532,'A',released,OTHPYR
335.1021,'W',pressed,OTHPYR
335.1862,'D',released,OTHPYR
335.7479,'A',pressed,OTHPYR
335.8887,'A',released,OTHPYR
336.1909,'D',pressed,OTHPYR
336.4759,'W',released,OTHPYR
336.6228,'W',pressed,OTHPYR
336.7987,'D',released,OTHPYR
337.1527,'D',pressed,OTHPYR
337.8891,'D',released,OTHPYR
338.3938,'A',pressed,OTHPYR
338.7821,'W',released,OTHPYR
338.9307,'S',pressed,OTHPYR
